Index,Artist,Album,Song,Title,AltTitle,Author,Key,OriginalKey,Tempo,TimeSignature,CcliSongNumber,PublicationYear,CopyrightHolder,Category,Status,Pages,PageNumber,Type,FileName
93,,,,It Is Well,Grander Earth,"Kristene DiMarco, Horatio Spafford",G,G,65,3/4+4/4,7021972,2013,Bethel Music Publishing,Contemporary,Final,3,245,LeadSheet,It Is Well With My Soul (C).pdf
94,,,,It Is Well With My Soul,,Horatio G. Spafford,C,C,0,4-Apr,25376,1873,Public Domain,Hymn,Final,1,232,LeadSheet,I'll Fly Away (G).pdf
95,,,,Jesus I Am Resting,,Jean Sophia Pigott,G,G,0,4-Apr,148576,1876,Public Domain,Hymn,Final,2,305,LeadSheet,Jesus I Am Resting (G).pdf
96,,,,Jesus Is Alive,,"Michael Farren, Tiarne Tranter",C,C,65,8-Jun,7121850,2018,CityAlight Music,Contemporary,Final,3,249,LeadSheet,Jesus Is Alive (C).pdf
97,,,,Jesus Messiah,,"Chris Tomlin, Daniel Carson",B,B,86,4-Apr,5183443,2008,sixsteps Music,Contemporary,Final,3,253,LeadSheet,Jesus Messiah (B).pdf
98,,,,Jesus Paid It All,,Elvina M. Hall,C,Db,76,4-Mar,22331,1865,Public Domain,Hymn,Final,1,248,LeadSheet,Jesus Paid It All (C).pdf
99,,,,Jesus Son Of God,,"Chris Tomlin, Jason Ingram",B,B,76,4-Apr,6223539,2012,S. D. G. Publishing,Contemporary,Final,4,261,LeadSheet,Jesus Son Of God (B).pdf
100,,,,Just As I Am,,Charlotte Elliot,C,Db,86,4-Jun,23206,1835,Public Domain,Hymn,Final,1,252,LeadSheet,Just As I Am (C).pdf
101,,,,Just As I Am,I Come Broken,"Charlotte Elliott, David Moffitt",A,A,73,4-Mar,5635850,2009,CCTB Music,Contemporary,Final,2,307,LeadSheet,Just As I Am (I Come Broken) (A).pdf
102,,,,King Of Kings,,"Brooke Ligertwood, Scott Ligertwood",D,D,68,4-Apr,7127647,2019,Hillsong Music Publishing Australia,Contemporary,Final,3,265,LeadSheet,King Of Kings (D).pdf
103,,,,King Of My Heart,,"John M. McMillan, Sarah McMillan",A,Bb,68,4-Apr,7046145,2015,Meaux Jeaux Music,Contemporary,Final,4,273,LeadSheet,King Of My Heart (A).pdf
104,,,,Knowing You,All I Once Held Dear,Graham Kendrick,C,C,54,4-Apr,1045238,1993,Make Way Music,Intermediate,Final,2,317,LeadSheet,Knowing You (C).pdf
105,,,,Lamb Of God,,Twila Paris,C,C,52,4-Mar,16787,1985,Mountain Spring Music,Intermediate,Final,2,319,LeadSheet,Lamb Of God (C).pdf
106,,,,Lay Me Down,,"Chris Tomlin, Jason Ingram",C,C,130,4-Apr,6223577,2012,Atlas Mountain Songs,Contemporary,Final,4,289,LeadSheet,Lay Me Down (C).pdf
107,,,,Lead Me To The Cross,Quiet I Come,Brooke Ligertwood,D,D,75,4-Apr,4785828,2006,Hillsong Music Publishing Australia,Contemporary,Final,3,277,LeadSheet,Lead Me To The Cross (D).pdf
108,,,,Like A River Glorious,,James Mountain,F,F,0,4-Apr,33935,1874,Public Domain,Hymn,Final,1,268,LeadSheet,Like A River Glorious (F).pdf
109,,,,"Lion And The Lamb, The",,"Brenton Brown, Brian Johnson",B,B,90,4-Apr,7038281,2015,Meaux Mercy,Contemporary,Final,3,281,LeadSheet,"Lion And The Lamb, The (B).pdf"
110,,,,Living Hope,,"Phil Wickham, Brian Johnson",D,Eb,72,4-Apr,7106807,2017,Phil Wickham Music,Contemporary,Final,4,293,LeadSheet,Living Hope (D).pdf
111,,,,Lord I Lift Your Name On High,,Rick Founds,G,G,86,4-Apr,117947,1989,Universal Music,Intermediate,Final,1,280,LeadSheet,Lord I Lift Your Name On High (C).pdf
112,,,,Lord I Need You,,"Christy Nockels, Daniel Carson",B,B,74,4-Apr,5925687,2011,sixsteps Music,Contemporary,Final,4,297,LeadSheet,Lord I Need You (B).pdf
113,,,,"Lord Is My Salvation, The",,"Jonas Myrin, Keith Getty",A,A,69,4-Apr,7063694,2016,Capitol CMG Paragon,Contemporary,Final,4,301,LeadSheet,"Lord Is My Salvation, The (A).pdf"
114,,,,"Lord Our God, The",,"Jason Ingram, Kristian Stanfill",C,C,72,4-Apr,6518055,2013,sixsteps Music,Contemporary,Final,2,337,LeadSheet,"Lord Our God, The (C).pdf"
115,,,,"Love Of God, The",,Frederick M. Lehman,D,D,82,4-Mar,18448,1917,Public Domain,Hymn,Final,2,339,LeadSheet,"Love Of God, The (D).pdf"
116,,,,Majesty,,Jack Hayford,A,Bb,0,4-Apr,1527,1981,New Spring,Intermediate,Final,2,353,LeadSheet,Majesty (A).pdf
117,,,,Majesty,Here I Am,"Martin Smith, Stuart Garrard",A,Bb,68,4-Apr,4219071,2004,Curious? Music UK,Contemporary,Final,2,355,LeadSheet,Majesty (Here I Am) (A).pdf
118,,,,Man Of Sorrows,,"Brooke Ligertwood, Matt Crocker",F,F,72,4-Apr,6476063,2012,Hillsong Music Publishing Australia,Contemporary,Final,3,309,LeadSheet,Man Of Sorrows (F).pdf
119,,,,Mercy,,"Matt Redman, Jonas Myrin",C,C,73,4-Apr,7000689,2013,Atlas Mountain Songs,Contemporary,Final,3,313,LeadSheet,Mercy (C).pdf
120,,,,Mighty To Save,,"Ben Fielding, Reuben Morgan",A,A,74,4-Apr,4591782,2006,Hillsong Music Publishing Australia,Contemporary,Final,4,321,LeadSheet,Mighty To Save (A).pdf
121,,,,Mine Eyes Have Seen The Glory,Battle Hymn,Julia W. Howe,G,Bb,90,4-Apr,24133,1862,Public Domain,Hymn,Final,2,373,LeadSheet,Mine Eyes Have Seen The Glory (Battle Hymn) (G).pdf
122,,,,Mountain,,"Matt Crocker, Joel Houston",D,D,76,4-Apr,6428853,2012,Hillsong Music Publishing Australia,Contemporary,Final,4,325,LeadSheet,Mountain (D).pdf
